"","nomem_encr","Extraversion","Agreeableness","Conscientiousness","Emotional_stab","Openness","Self_esteem"
"288",804565,3,3.5,3,3,3.4,4.77
"289",804568,2.7,4.1,2.8,2,3.7,5.31
"290",804595,2.3,4,4.8,3.2,3.3,4.85
"291",804626,3.8,3.9,4.2,4.5,4.1,6.23
"292",804641,3.6,4.4,3.7,3.2,3,6.38
"293",804647,2.7,3.8,2.7,3.6,3.7,5.62
"294",804653,3.3,4.3,4.2,4,3.2,6.38
"295",804660,3.2,4,3.9,3.4,3.8,6
"296",804672,4.2,4.2,3.6,4.3,4.4,6.54
"297",804690,3.4,3.5,4.2,3.9,3.7,5.77
"298",804721,3.1,3.9,3.8,3.4,3.1,4.85
"299",804763,NA,NA,NA,NA,NA,NA
"300",804806,3.7,4.6,4.5,4.4,3.7,6.23
"301",804861,3.2,3.9,3.5,3.4,3.5,6
"302",804882,3,3,3,3,3,5.92
"303",804895,1.9,3,3.8,1.4,3.6,3.77
"304",804916,3.8,4.2,3.8,3.9,3.7,5.77
"305",804925,2.1,2.4,4.5,4.7,3,6.31
"306",804949,2.1,3.4,3.9,3.8,3.5,5.31
"307",804953,3.1,3.6,3.6,4,2.9,4.69
"308",804968,3.6,4,4.2,3.6,3.6,6.77
"309",805007,2.9,4.2,4.7,3.5,3.7,5.77
"310",805017,2.5,2.5,2.6,2,3.6,2.85
"311",805023,2,3.7,4.6,3.5,3.2,6.77
"312",805026,3.5,3.6,3.6,4.2,3.7,6.15
"313",805059,2.9,3.9,3.8,3.2,3.3,6.38
"314",805096,3.7,3.1,3.6,4.4,4.4,6.77
"315",805166,2.8,3.3,3.1,3,3.2,4.85
"316",805181,3.5,3.6,4.1,3.7,3.5,6.46
"317",805209,4,4.1,4.3,3.6,2.7,6.54
"318",805224,3.2,3.5,3.7,3.9,3.2,5.15
"319",805233,3.9,3.8,4,4,3.7,6.15
"320",805252,2.1,4.2,3.6,3.3,2.6,5
"321",805258,2.7,4,3.9,3.8,3.2,6.69
"322",805261,3.1,3.7,4.3,3.5,3.1,6.15
"323",805273,2.7,3.8,4.4,3,3.4,5.31
"324",805288,2.2,3.3,3.4,3.2,2.9,5.46
"325",805303,3.2,3.8,4.1,4.2,3.3,6.31
"326",805319,3.6,3.7,3.4,2.7,3.3,5.15
"327",805340,2.9,3.9,3.9,3.6,3.3,5.92
"328",805349,3.3,4,3.7,4.2,3.4,6.08
"329",805364,2.3,4.4,3.7,2.2,4.7,6.31
"330",805380,2.5,4.3,3.8,2.2,3.2,3.23
"331",805383,3.7,3.6,3.3,2.2,3.6,3.62
"332",805395,3.9,4.5,3.4,3.6,3.4,3.46
"333",805416,2.9,3.9,3.5,2.6,3.2,2.85
"334",805419,2.5,3.1,3.7,3.2,2.5,4.31
"335",805435,3,3,3,3,3,4
"336",805453,2.9,3.9,4.1,3.4,3.2,5.69
"337",805471,3.6,4.4,4.6,3.3,4.1,6.31
"338",805480,2.3,3.9,3.5,1.5,4.2,3.69
"339",805487,2.4,3,3.6,2.6,3.2,4.54
"340",805502,4.1,4.2,4.5,4,3.1,5.62
"341",805520,2.9,3.4,4,3.8,3.3,5.77
"342",805532,3.4,4.4,2.9,4.7,4,4.54
"343",805560,2.6,3.3,3,3.7,3.1,4.77
"344",805563,2.3,3.4,4,3.8,3.5,5.46
"345",805569,2.8,4.6,3.9,3.6,3.4,5.15
"346",805572,3.5,3.7,3.3,3.1,3.2,4.15
"347",805575,3.6,3.9,3.6,3.8,3.6,6.08
"348",805584,3.6,3.8,3.7,4.5,3.8,6.38
"349",805603,3.4,3.7,3.6,3.7,3.7,6.23
"350",805606,3,4,3.2,3.1,3.7,5.62
"351",805621,3.5,3.5,2.6,3.6,2.9,4.85
"352",805633,1.9,3.8,3.6,3.3,2.6,3.54
"353",805639,3.7,3.6,3.5,3.3,3.3,5.08
"354",805657,3.2,3.5,3.1,3.1,3.6,4.15
"355",805670,3.4,4.4,4.5,4.3,4.9,6.69
"356",805676,4.7,4.2,4.4,4.1,3.8,6.15
"357",805685,3.8,4.1,3.9,2.8,3.8,5.38
"358",805703,4.1,4.6,4.5,4.3,3.6,6.54
"359",805709,3.4,3.9,3.6,3.6,3.5,5.62
"360",805728,3.4,3.5,3.3,3.6,3,5.54
"361",805761,3.7,3.8,4,4.6,4.3,6.31
"362",805764,3.8,4.7,4.5,4.1,3.8,6.92
